,CUSTNO,ZIP,ORDER_NO,PRODUCT_NO,PRODUCT_CATEGORY_ID,CHANNEL,OFFER_ID,ORDER_DATE,COST,REVENUE,PAY_METHOD,QUANTITY,RETN_REVENUE
120,10124911937,54494,130674944,984324,T,ML,A11HLB,2011-10-27,10.8,29.95,VI,1,
125,10013501050,23238,130680756,987396,B,ML,A12FDB,2012-07-18,47.58,119.9,DI,2,
126,10045790923,59102,130058841,987396,B,ML,A12PCB,2012-07-23,25.29,79.95,PC,1,
127,10087517081,37377,130049115,987396,B,ML,A11GFP,2012-02-24,23.79,59.95,PC,1,
128,10105466070,54859,130050134,987396,B,ML,A12OTB,2012-03-10,23.79,59.95,PC,1,
130,10108746585,60076,130042314,987396,B,ML,A11LMB,2011-12-06,23.79,59.95,PC,1,
131,10111854341,01776,130050047,987396,B,ML,A12LWB,2012-03-09,23.79,59.95,PC,1,
132,10115422196,94706,130033385,987396,B,ML,A11HLB,2011-10-04,23.5,59.95,PC,1,
136,10120575409,90809,130014056,987396,B,ML,A11WNB,2011-01-08,23.79,59.95,PC,1,
137,10123804598,93455,130030058,987396,B,ML,A11PCB,2011-08-23,24.78,59.95,PC,1,
138,10125424165,21208,130038034,987396,B,ML,A11GFB,2011-11-14,23.79,59.95,PC,1,
139,10129931231,13830,130053198,987396,B,ML,A12ESB,2012-04-30,23.79,59.95,PC,1,
145,10032833449,82801,123457219,987652,K,ML,A11MSB,2011-07-15,14.4,99.95,MO,1,
146,10032833449,82801,130026916,987652,K,ML,A11MSB,2011-07-12,19.8,99.95,MO,1,
148,10108302189,71264,130016091,987652,K,ML,A11LWB,2011-02-08,14.4,99.95,PC,1,
153,9991358331,00820,130042052,988164,B,ML,A11GFP,2011-12-05,25.0,89.95,PC,1,
154,9991358331,00820,130042052,988164,B,ML,A11GFP,2011-12-05,25.0,89.95,PC,1,
155,9992672812,21286,130680978,988420,F,ML,A12PCB,2012-07-27,45.68,129.95,AX,1,
156,10025834661,48044,130039223,988420,F,ML,A11LMB,2011-11-21,46.59,119.95,PC,1,
158,10053125264,20194,130040147,988420,F,ML,A11GFB,2011-11-25,46.59,119.95,PC,1,
160,10108666864,94025,130027580,988420,F,ML,A11PCB,2011-07-25,51.31,119.95,PC,1,
161,10125658151,95441,130038676,988420,F,ML,A11LMB,2011-11-18,46.59,119.95,PC,1,
162,10125658151,95441,130038676,988420,F,ML,A11LMB,2011-11-18,46.59,119.95,PC,1,
163,10120483982,90220,130669433,989444,L,ML,A10LCR,2011-01-03,34.16,79.95,MC,1,
164,10095811267,77356,130041615,991236,A,ML,A11GFB,2011-12-03,13.98,39.95,PC,1,
165,10106485616,08098,130051081,991236,A,ML,A12OTB,2012-03-26,13.98,39.95,PC,1,
166,10124751246,53704,130034692,991236,A,ML,A11GFP,2011-10-20,13.98,39.95,PC,1,
167,10127544250,63621,130043886,991236,A,ML,A11GFP,2011-12-13,13.98,39.95,PC,1,
168,10128530184,92867,130046239,991236,A,ML,A12WNB,2012-01-10,13.98,39.95,PC,1,
169,10129683658,77099,130052308,991236,A,ML,A12LSB,2012-04-09,13.98,39.95,PC,1,
176,10049812873,28226,125511414,984325,T,ML,A11LMB,2011-11-28,23.38,49.95,PX,1,
179,10080593258,95833,130043492,984325,T,ML,A11LMB,2011-12-10,23.38,49.95,MO,1,
180,10098297183,97439,130676487,984325,T,ML,A11LMB,2011-12-01,23.38,49.95,VI,1,
194,10125659183,49464,130038793,984325,T,ML,A11LMB,2011-11-18,23.38,49.95,PC,1,
198,10056440569,28804,130678173,985093,C,ML,A12LWB,2012-02-13,22.77,59.95,VI,1,
211,10105285181,91007,130020896,985093,C,ML,A11SPB,2011-04-15,19.5,49.95,PC,1,
215,10123188516,89081,130672734,985093,C,ML,A11MSB,2011-07-12,19.5,59.95,AX,1,59.95
216,10125418489,95661,130675623,985093,C,ML,A11GFB,2011-11-14,22.77,59.95,VI,1,
217,10126193321,78217,130040518,985093,C,ML,A11LMB,2011-11-28,22.77,59.95,PC,1,59.95
218,10126193321,78217,130062733,985093,C,ML,A12EHB,2012-09-17,30.0,79.95,PC,1,
219,10128073721,85234,130044793,985093,C,ML,A11EGR,2011-12-20,22.77,59.95,PC,1,59.95
223,10128689630,75070,125511452,992261,P,ML,A12LWB,2012-01-24,74.9,129.95,PX,1,
235,10054094894,85635,130026419,988166,F,ML,A11MSB,2011-07-07,46.1,99.95,PC,1,
238,10123511030,20024,130028363,988166,F,ML,A11PCB,2011-08-01,46.1,99.95,PC,1,
239,10032833449,82801,123457219,989446,K,ML,A11MSB,2011-07-15,58.55,99.95,MO,1,
240,10032833449,82801,130026916,989446,K,ML,A11MSB,2011-07-12,58.55,99.95,MO,1,
241,10041944386,28210,130062681,992262,H,ML,A12PCB,2012-09-17,129.0,299.95,PC,1,
253,10047204306,44203,130030376,985863,T,ML,A11OFM,2011-08-31,12.23,29.95,PC,1,
254,10047204306,44203,130047612,985863,T,ML,A11EHB,2012-02-02,12.23,29.95,PC,1,
258,10088284374,77905,130061516,985863,T,ML,A12OFM,2012-09-04,12.23,29.95,PC,1,
260,10097326654,33155,130022349,985863,T,ML,A11ESB,2011-05-10,12.23,29.95,PC,1,
267,10116911038,44709,130044696,985863,T,ML,A11EGR,2011-12-20,12.23,29.95,PC,1,
269,10122159195,32303,130035177,985863,T,ML,A11GFP,2011-10-25,12.5,29.95,PC,1,
298,10006937557,33311,130061823,988168,H,ML,A12EHB,2012-09-10,21.75,49.95,PC,1,
299,10013932634,94116,130017026,988168,H,ML,A11LWB,2011-02-22,21.75,49.95,PC,1,
300,10038665532,46804,130059025,988168,H,ML,A12PCB,2012-07-23,21.75,49.95,PC,1,
301,10047767962,33149,130052897,988168,H,ML,A12LSB,2012-04-23,21.75,49.95,PC,1,
302,10083180659,20852,130022486,988168,H,ML,A11ESB,2011-05-13,21.75,49.95,PC,1,
303,10083358966,07960,130038398,988168,H,ML,A11GFP,2011-11-15,21.75,49.95,PC,1,
304,10083490989,28789,130044392,988168,H,ML,A11LCR,2011-12-16,21.75,49.95,PC,1,
305,10100899857,07850,130677627,988168,H,ML,A12WNB,2012-01-04,21.75,49.95,MC,1,
306,10103172266,98419,130026377,988168,H,ML,A11MSB,2011-07-06,21.75,49.95,MO,1,49.95
307,10106076034,91770,130043093,988168,H,ML,A11LCB,2011-12-09,21.75,49.95,PC,1,
308,10107095495,17241,130022927,988168,H,ML,A11FDB,2011-05-21,21.75,49.95,PC,1,
310,10114709270,97438,130051927,988168,H,ML,W12SHP,2012-04-04,21.75,49.95,PC,1,
313,10116125499,79772,130674880,988168,H,ML,A11GFP,2011-10-25,21.75,49.95,MC,1,
316,10123180833,75160,130026797,988168,H,ML,A11MSB,2011-07-12,21.75,49.95,PC,1,
317,10123425718,44681,123457268,988168,H,ML,A11PCB,2011-08-09,21.75,49.95,MO,1,
318,10125207116,48083,130036934,988168,H,ML,A11GFB,2011-11-07,21.75,49.95,PC,1,
319,10128596174,06840,130057112,988168,H,ML,A12SMB,2012-06-26,21.75,49.95,PC,1,
320,10116232214,33701,130013949,989960,B,ML,A10LCB,2011-01-08,44.85,139.95,PC,1,
321,10127819329,98002,130044296,991752,B,ML,A11LCR,2011-12-16,36.0,79.95,PC,1,
322,10128073770,05478,130044799,991752,B,ML,A11LCB,2011-12-20,36.0,79.95,PC,1,
323,10128511431,63650,130045946,991752,B,ML,A11LCB,2012-01-09,39.38,79.95,PC,1,
333,10100894661,98022,130015895,985865,T,ML,A10LMB,2011-02-05,30.0,79.95,PC,1,
337,9992995494,43560,130677917,989449,C,ML,A12LWB,2012-01-26,30.0,79.95,MC,1,79.95
339,10087980617,22645,130015771,989449,C,ML,A11LWB,2011-02-03,30.0,79.95,PC,1,
340,10112597879,37854,130043710,989449,C,ML,A11LCB,2011-12-12,30.0,79.95,MO,1,
341,10127162986,60804,130043041,989449,C,ML,A11LCB,2011-12-09,30.0,79.95,PC,1,
349,10112858764,01520,130019624,986634,F,ML,A11LSB,2011-04-02,40.0,99.95,PC,1,
353,10121770289,47170,130019843,988682,F,ML,A11LSB,2011-04-03,65.0,149.95,PC,1,
354,10121728089,48205,130019598,989962,E,ML,A11LSB,2011-03-31,105.0,199.95,PC,1,
355,10122106459,77036,130021375,989962,E,ML,A11LSB,2011-04-29,105.0,199.95,MO,1,
370,10036542782,20748,130035895,986891,H,ML,A11GFP,2011-10-31,56.0,119.95,PC,1,
371,10051735460,48141,130042860,986891,H,ML,A11GFB,2011-12-08,56.0,119.95,PC,1,
374,10085576691,15021,130674498,986891,H,ML,A11HLB,2011-10-13,56.0,119.95,MC,1,
378,10120575409,90809,130034637,986891,H,ML,A11HLB,2011-10-20,56.0,119.95,PC,1,
379,10124023712,54409,130030678,986891,H,ML,A11EHB,2011-09-09,55.0,119.95,PC,1,
382,10112953524,67213,130023467,988427,O,ML,A11ESB,2011-05-25,53.55,149.95,MO,1,
384,10097452690,49730,130056929,991243,F,ML,A12SMB,2012-06-21,118.0,169.95,PC,1,
385,10130321141,46952,130055322,991243,F,ML,A12FDB,2012-05-30,118.0,169.95,PC,1,
386,10130625351,53916,130680266,991243,F,ML,A12LSB,2012-06-18,118.0,169.95,VI,1,
415,10128511431,63650,130045946,985868,T,ML,A11LCB,2012-01-09,16.06,34.95,PC,1,
418,10006937557,33311,130031704,989708,E,ML,A11EHB,2011-09-17,16.48,49.95,PC,1,
419,10067109757,78623,130677361,989708,E,ML,A11EGR,2011-12-19,16.48,49.95,VI,1,
420,10098926436,48316,130025440,989708,E,ML,A11SMB,2011-06-23,16.48,49.95,PC,1,
421,10101175360,44320,130030180,989708,E,ML,A11PCB,2011-08-25,16.48,49.95,MO,1,
422,10110101430,92501,130679858,989708,E,ML,A12ESB,2012-05-29,14.81,49.95,VI,1,
423,10126212685,32937,130040700,989708,E,ML,A11LMB,2011-11-28,14.74,49.95,PC,1,
424,10126212685,32937,130040700,989708,E,ML,A11LMB,2011-11-28,14.74,49.95,PC,1,
444,10113792754,28211,130018399,989709,E,ML,A11OTB,2011-03-15,41.36,99.95,PC,1,
445,9993146651,93449,130672114,991245,E,ML,A11FDB,2011-06-09,139.0,249.95,VI,1,
446,10021268946,07108,130022892,991245,E,ML,A11LWB,2011-05-21,139.0,249.95,PC,1,
447,10113211434,38852,130055770,992525,C,ML,A12FDB,2012-06-07,34.67,129.95,PC,1,
448,10130321100,32083,130055317,992525,C,ML,A12FDB,2012-05-30,33.62,129.95,PC,1,
470,10122202771,08701,130022086,985358,F,ML,A11OTB,2011-05-06,15.0,39.95,PC,1,
476,10034627305,06010,130020836,986382,C,ML,A11LSB,2011-04-15,27.0,59.95,PC,1,
477,10056833409,33852,130057689,986382,C,ML,A12MSB,2012-07-05,33.0,59.95,PC,1,
478,10059842094,79772,130046900,986382,C,ML,A12LWB,2012-01-24,33.0,59.95,PC,1,
479,10078579032,35040,130020278,986382,C,ML,A11SPB,2011-04-07,30.0,59.95,MO,1,59.95
484,10106452804,35661,130028291,986382,C,ML,A11SMB,2011-07-29,33.0,59.95,PC,1,
487,10124079680,70420,130031108,986382,C,ML,A11EHB,2011-09-12,33.0,59.95,PC,1,
488,10124079680,70420,130047702,986382,C,ML,A12LWB,2012-02-03,33.0,59.95,PC,1,
489,10127412333,60560,130043562,986382,C,ML,A11LCB,2011-12-12,33.0,59.95,PC,1,
497,10084643499,34205,130036804,987662,H,ML,A11HLB,2011-11-07,15.56,39.95,PC,1,
509,10118692446,31411,130032089,987662,H,ML,A11EHB,2011-09-21,15.56,39.95,PC,1,
514,10121176107,01915,130670242,987662,H,ML,A11SPB,2011-02-19,15.56,39.95,MC,1,
515,10121268682,49684,130017322,987662,H,ML,A11SPB,2011-02-25,15.56,39.95,PC,1,
516,10122722338,63303,130026491,987662,H,ML,A11FDB,2011-07-08,15.56,39.95,PC,1,
517,10123123406,77868,130026409,987662,H,ML,A11MSB,2011-07-07,15.56,39.95,PC,1,
518,10123710936,97215,130029536,987662,H,ML,A11MSB,2011-08-15,15.56,39.95,PC,1,
524,10039910110,78727,130062782,992270,B,ML,A12EHB,2012-09-17,22.5,69.95,PC,1,
549,10121451797,74445,130018113,988431,C,ML,A11OTB,2011-03-11,36.0,99.95,PC,1,
550,10122760033,08071,130024574,988431,C,ML,A11SMB,2011-06-12,36.0,99.95,PC,1,
551,10122760033,08071,130024574,988431,C,ML,A11SMB,2011-06-12,36.0,99.95,PC,1,
554,10041016045,94546,130024488,988687,P,ML,A11FDB,2011-06-11,7.25,24.95,PC,1,
556,10067480835,85715,130672696,988687,P,ML,A11LSB,2011-07-10,7.25,24.95,VI,1,
558,10094980123,41175,130020985,988687,P,ML,A11WNB,2011-04-17,7.25,24.95,PC,1,
561,10116185461,28539,130019178,988687,P,ML,A11OTB,2011-03-25,7.25,24.95,PC,1,
562,10120574888,53530,130013986,988687,P,ML,A11WNB,2011-01-08,7.25,24.95,PC,1,
563,10121269918,32129,130017349,988687,P,ML,A11SPB,2011-02-25,7.25,24.95,PC,1,
564,10122552942,14225,130023821,988687,P,ML,A11LSB,2011-06-01,21.75,74.85,PC,3,
565,9994572549,96789,130679208,991247,F,ML,A12LSB,2012-04-12,94.05,149.95,DI,1,
566,10083963684,04987,130673406,991247,F,ML,A11PCB,2011-08-16,94.05,149.95,VI,1,
567,10107676023,32208,130059497,991247,F,ML,A12PCB,2012-07-27,98.78,159.95,PC,1,
568,10112879711,02026,130053251,991247,F,ML,A12ESB,2012-04-30,94.05,149.95,PC,1,
569,10117544904,93065,130027295,991247,F,ML,A11MSB,2011-07-21,94.05,149.95,PC,1,
570,10130243978,04039,130054893,991247,F,ML,A12FDB,2012-05-23,94.05,149.95,MO,1,
571,10130531451,78207,130056198,991247,F,ML,A12FDB,2012-06-11,94.05,149.95,MO,1,
572,10131051250,40223,130058622,991247,F,ML,A12PCB,2012-07-19,98.78,159.95,PC,1,
573,10131211060,33904,130059763,991247,F,ML,A12PCB,2012-07-31,94.05,159.95,PC,1,
580,10073832014,97045,130019747,986384,C,ML,A11LSB,2011-04-03,33.0,59.95,PC,1,
588,10130528101,48238,130056136,992016,C,ML,A12SMB,2012-06-11,33.0,79.95,PC,1,
589,10131157031,07010,130059429,992016,C,ML,A12PCB,2012-07-26,33.0,79.95,PC,1,
590,10131713378,91360,130061860,992016,C,ML,A12PCB,2012-09-10,33.0,79.95,PC,1,
591,10101881454,20141,130059233,993040,C,ML,A12PCB,2012-07-24,22.0,69.95,PC,1,
592,10123564927,34957,130056137,993040,C,ML,A12SMB,2012-06-11,22.0,69.95,PC,1,
604,10100899857,07850,130677627,983569,B,ML,A12WNB,2012-01-04,15.0,59.95,MC,1,
605,10104155062,78641,130028295,983569,B,ML,A11PCB,2011-07-29,19.19,59.95,PC,1,
608,10106291342,10930,130038914,983569,B,ML,A11PCB,2011-11-18,19.19,59.95,MO,1,
611,10126198830,18925,130048976,983569,B,ML,A12SPB,2012-02-23,15.0,59.95,PC,1,
613,10129926875,73069,130679366,921873,P,ML,A12ESB,2012-04-30,1287.5,2800.0,MC,1,
614,10123537909,39305,130028566,988433,H,ML,A11PCB,2011-08-03,203.0,429.95,PC,1,429.95
615,9992995494,43560,130673225,989457,C,ML,A11OFM,2011-08-08,28.0,69.95,VI,1,
616,9997459266,02574,130029886,989457,C,ML,A11OFM,2011-08-20,28.0,69.95,PC,1,
617,10014270587,92028,130677857,989457,C,ML,A11LCB,2012-01-20,28.0,69.95,MC,1,
618,10017074407,19083,130060344,989457,C,ML,A12OFM,2012-08-10,28.0,79.95,MC,1,
619,10056833409,33852,130057689,989457,C,ML,A12MSB,2012-07-05,28.0,69.95,PC,1,
621,10075798318,83252,130031561,989457,C,ML,A11EHB,2011-09-16,28.0,69.95,PC,1,
623,10100526893,92284,130043871,989457,C,ML,A11GFP,2011-12-13,28.0,69.95,PC,1,
624,10100899857,07850,130677627,989457,C,ML,A12WNB,2012-01-04,28.0,69.95,MC,1,
625,10111931166,98501,130044744,989457,C,ML,A11EGR,2011-12-20,28.0,69.95,PC,1,
626,10111931166,98501,130044755,989457,C,ML,A11LCR,2011-12-20,28.0,69.95,PC,1,
627,10112087216,35242,130030880,989457,C,ML,W11WEB,2011-09-10,28.0,69.95,PC,1,
628,10120060981,61109,130040243,989457,C,ML,A11GFB,2011-11-25,28.0,69.95,PC,1,
629,10058065117,46738,130677511,991505,E,ML,A11GFB,2011-12-28,9.0,19.95,VI,1,
630,10127162986,60804,130043041,991505,E,ML,A11LCB,2011-12-09,9.0,19.95,PC,1,
671,10037594267,20770,130030810,986130,H,ML,A11EHB,2011-09-10,7.3,14.95,PC,1,
678,10089607160,32703,130047439,986130,H,ML,A12WNB,2012-01-31,7.3,14.95,MO,1,
684,10114051400,25071,130030494,986130,H,ML,A11PCB,2011-09-03,5.95,14.95,PC,1,
685,10129598870,72715,130678990,986130,H,ML,A12LSB,2012-04-02,5.95,14.95,VI,1,
686,10129877724,19107,130053028,986130,H,ML,A12ESB,2012-04-26,7.3,14.95,PC,1,
687,10129877724,19107,130053028,986130,H,ML,A12ESB,2012-04-26,5.95,14.95,PC,1,
688,10131135053,15436,123458129,986130,H,ML,A12OFM,2012-08-07,5.95,14.95,PC,1,
689,9992995494,43560,130677917,991250,L,ML,A12LWB,2012-01-26,29.98,79.95,MC,1,
690,10000365557,53217,130676883,991250,L,ML,A11LMB,2011-12-08,29.98,79.95,MC,1,
691,10051735460,48141,130062391,993298,E,ML,A12EHB,2012-09-13,60.0,129.95,PC,1,
692,10131484862,22603,130061222,993298,E,ML,A12SMB,2012-08-24,60.0,129.95,PC,1,
702,10051735460,48141,130062391,993299,E,ML,A12EHB,2012-09-13,30.0,59.95,PC,1,
757,10116104495,61073,130048498,987157,P,ML,A12SPB,2012-02-20,63.0,129.95,PC,1,
759,10124622479,02906,130674537,987157,P,ML,A11HLB,2011-10-14,63.0,129.95,VI,1,
760,10130833203,15001,130680518,987157,P,ML,A12MSB,2012-07-03,63.0,129.95,MC,1,
761,10131175033,11364,130059486,987157,P,ML,A12PCB,2012-07-27,63.0,129.95,PC,1,
762,10112642291,03743,123457080,989973,E,ML,A11LSB,2011-05-03,25.77,49.95,MO,1,
763,10083963684,04987,130673406,991253,E,ML,A11PCB,2011-08-16,155.0,299.95,VI,1,
764,10088919756,01040,130033179,991253,E,ML,A11EHB,2011-10-03,155.0,299.95,PC,1,
765,10105285181,91007,130679489,991253,E,ML,A12SPB,2012-05-07,155.0,199.95,VI,1,
766,10113833493,18102,130049071,991253,E,ML,A12SPB,2012-02-24,155.0,199.95,PC,1,
767,10107085975,98178,130035103,991509,X,ML,A11GFP,2011-10-24,38.31,99.95,MO,1,
768,10015469568,27104,130679614,992277,H,ML,A12FDB,2012-05-17,34.5,69.95,AX,1,
769,10061916670,92064,130046124,992277,H,ML,A12WNB,2012-01-09,34.5,69.95,MO,1,
770,10113190025,23502,130048437,992277,H,ML,A12LWB,2012-02-17,34.5,69.95,PC,1,
771,10116106441,54241,130052383,992277,H,ML,A12LSB,2012-04-10,34.5,69.95,PC,1,
775,9994921664,03862,123457436,986134,T,ML,A11GFP,2011-11-08,24.0,59.95,PC,1,
777,10044317516,12958,130674783,986134,T,ML,A11GFP,2011-10-24,24.0,59.95,VI,1,
785,10120171622,91103,130044227,986134,T,ML,A11EHB,2011-12-16,24.0,59.95,PC,1,
786,10124995461,87035,130675062,986134,T,ML,A11GFP,2011-10-31,24.0,59.95,VI,1,
787,10126751500,93306,130042045,986134,T,ML,A11LMB,2011-12-05,24.0,59.95,PC,1,
788,10129375546,72143,130050677,986134,T,ML,A11LCR,2012-03-16,24.0,59.95,PC,1,
793,10123565300,44012,130028719,987670,T,ML,A11PCB,2011-08-05,11.1,29.95,PC,1,
798,10125659183,49464,130038793,988950,E,ML,A11LMB,2011-11-18,42.85,89.95,PC,1,
799,10125866431,24073,130039665,988950,E,ML,A11LMB,2011-11-22,42.85,89.95,PC,1,
801,10121466500,21209,130018207,989206,B,ML,A11LWB,2011-03-12,72.0,169.95,PC,1,
802,10125029692,90044,130042472,991254,T,ML,A11LCB,2011-12-06,85.0,149.95,PC,1,
809,10008348706,99301,130669528,989719,C,ML,A11WNB,2011-01-06,12.5,39.95,VI,1,
810,10129634619,14043,130680103,992279,P,ML,A12SMB,2012-06-11,17.94,39.9,VI,2,
816,10118081650,98335,130029076,989720,C,ML,A11OFM,2011-08-11,27.0,79.95,PC,1,
817,10122949882,96826,130025578,989720,C,ML,A11SMB,2011-06-25,27.0,79.95,PC,1,
818,10123060911,92065,130026076,989720,C,ML,A11MSB,2011-07-02,27.0,79.95,PC,1,
819,10129653231,83686,130052059,989720,C,ML,A12LSB,2012-04-06,27.0,79.95,PC,1,
820,10058197199,07940,130037884,991256,T,ML,A11GFB,2011-11-11,28.56,49.95,PC,1,
821,10126198830,18925,130048976,991256,T,ML,A12SPB,2012-02-23,28.56,29.95,PC,1,
822,10109218029,94611,130040414,991512,L,ML,A11LMB,2011-11-28,62.86,229.95,PC,1,
823,10124869676,80906,130035189,991512,L,ML,A11EHB,2011-10-25,62.86,229.95,PC,1,
859,10044720346,10001,130060617,987161,P,ML,A12OFM,2012-08-14,6.09,19.95,PC,1,
862,10090834289,60655,130681607,987161,P,ML,A12EHB,2012-09-11,6.09,19.95,DI,1,
864,10109397146,52804,130013408,987161,P,ML,A10EHB,2011-01-04,6.23,19.95,PC,1,
865,10116586511,96080,130681541,987161,P,ML,A12EHB,2012-09-10,6.09,19.95,MC,1,
866,10124038379,27944,130673677,987161,P,ML,A11EHB,2011-09-10,5.65,19.95,VI,1,
867,10129220206,83639,130049731,987161,P,ML,A12SPB,2012-03-05,5.65,19.95,PC,1,
870,10013158139,06067,130016512,989465,L,ML,A11SPB,2011-02-17,25.41,79.95,PC,1,
872,10113833493,18102,130027609,989465,L,ML,A11PCB,2011-07-25,25.02,79.95,PC,1,
873,10113960987,03245,130051429,989465,L,ML,A12LSB,2012-04-02,23.96,79.95,PC,1,
875,10122671652,92675,130672060,989465,L,ML,A11SMB,2011-06-08,25.41,79.95,DI,1,
876,10124156355,99320,130031683,989465,L,ML,A11EHB,2011-09-16,23.98,79.95,MO,1,
877,10125278695,08618,130037680,989465,L,ML,A11OFM,2011-11-10,47.86,159.9,MO,2,
878,10125428058,24153,130038210,989465,L,ML,A11GFB,2011-11-14,23.93,79.95,PC,1,
879,10129216087,78636,130678596,989465,L,ML,A12OTB,2012-03-05,23.86,79.95,VI,1,
881,10000495469,30606,130033564,989721,P,ML,A11HLB,2011-10-06,70.0,149.95,PC,1,
882,10013902940,02540,130054187,989721,P,ML,A12ESB,2012-05-15,140.0,299.9,PC,2,
883,10109485472,91607,130040748,989721,P,ML,A11GFP,2011-11-28,70.0,149.95,PC,1,
884,10123402305,95648,130675227,989721,P,ML,A11HLB,2011-11-04,70.0,149.95,VI,1,
885,10128516892,75757,130045880,989721,P,ML,A12WNB,2012-01-09,70.0,149.95,PC,1,
886,10000723903,92103,130032836,991513,E,ML,A11HLB,2011-09-30,29.75,49.95,PC,1,
887,10000723903,92103,130035802,991513,E,ML,A11GFP,2011-10-28,29.75,49.95,PC,1,
888,10023558694,20037,130037068,991513,E,ML,A11GFP,2011-11-07,29.75,49.95,MO,1,
889,10109842951,07716,130046935,991513,E,ML,A12LWB,2012-01-24,29.75,49.95,PC,1,
890,10125273662,95822,130037484,991513,E,ML,A11GFB,2011-11-09,29.75,49.95,PC,1,
891,10125422936,90740,130050501,991513,E,ML,A12OTB,2012-03-14,29.75,49.95,PC,1,
892,10125424165,21208,130038034,991513,E,ML,A11GFB,2011-11-14,29.75,49.95,PC,1,
893,10126416013,45338,130041311,991513,E,ML,A11LMB,2011-12-01,29.75,49.95,PC,1,
912,10126743085,44145,130042098,989466,L,ML,A11LMB,2011-12-05,26.41,99.95,PC,1,
913,10124670090,94116,130034458,991514,E,ML,A11HLB,2011-10-17,35.0,69.95,PC,1,
914,10039576714,53705,130034820,991770,K,ML,A11GFP,2011-10-21,32.49,49.95,PC,1,
915,10073304739,34231,130675208,991770,K,ML,A11GFB,2011-11-03,32.49,49.95,VI,1,
916,10090653877,34946,130034700,991770,K,ML,A11GFP,2011-10-20,32.49,49.95,PC,1,
918,10083816353,02632,130037868,981786,C,ML,A11EHB,2011-11-11,27.89,69.95,PC,1,
931,10111930018,89423,130040241,984347,T,ML,A11GFB,2011-11-25,19.0,39.95,PC,1,39.95
933,10083490989,28789,130041260,987675,T,ML,A11LMB,2011-12-01,63.7,129.95,PC,1,
935,10079635114,20012,130036641,989467,T,ML,A11EHB,2011-11-04,13.84,39.95,PC,1,
936,10125275550,79762,130037527,989467,T,ML,A11GFP,2011-11-09,13.84,39.95,PC,1,
937,10125426417,55779,130038134,989467,T,ML,A11GFP,2011-11-14,27.68,79.9,PC,2,
945,10106958297,22209,130678668,981787,C,ML,A12OTB,2012-03-09,27.22,69.95,MC,1,
979,10025280567,95519,130018892,988700,L,ML,A11OTB,2011-03-19,27.48,89.95,PC,1,89.95
980,10030972867,07657,130021494,988700,L,ML,A11ESB,2011-04-30,27.48,89.95,MO,1,
